Blog	did	order	aren	online	getting	feel	security	team	wrote	blog	post	after	huge	data	using	those	access	hear	am	march	until	around	mostly	process	our	had	service	most	ways	build	based	best	think	answer	seems	enough	many	us	company	off	run	building	social	part	why	job	latest	episode	podcast	google	tech	her	search	report	feature	were	network	both	link	several	links	between	design	looking	single	called	line	stop	top	down	look	similar	comes	thinking	doing	yourself	person	who	work	details	ll	then	probably	know	someone	keep	working	other	gets	check	great	needs	always	case	place	long	call	super	world	self	care	bad	worst	ever	question	myself	almost	he	d	remember	good	things	let	sound	made	seen	need	subscription	money	less	david	making	fun	give	me	something	important	because	own	point	actually	including	while	issue	old	white	should	fact	local	take	does	cost	example	public	under	isn	often	rest	country	them	also	too	story	idea	against	state	his	twitter	com	mdash	america	york	times	love	little	away	where	said	its	name	these	show	through	day	real	takes	readers	make	possible	free	morning	late	night	monday	friend	book	women	helped	wasn	another	again	whether	could	back	deal	along	never	problem	being	within	week	without	full	companies	member	every	price	technology	instead	means	find	hard	try	short	really	kids	m	sure	home	play	next	year	built	going	trump	done	few	months	ago	didn	any	power	trying	right	thing	use	would	vote	lost	course	makes	sense	want	much	put	lot	bit	different	party	likely	especially	current	president	over	well	says	follow	american	posts	inside	million	three	users	asked	open	account	email	number	information	still	cars	ready	market	support	may	last	life	here	list	stuff	everything	high	easy	nothing	appeared	him	global	weekend	drive	friends	recently	share	favorite	man	two	only	used	see	anything	father	six	days	left	others	however	once	help	product	else	photos	art	giving	four	five	must	star	mark	media	experience	nbsp	doesn	matter	early	haven	fast	soon	customers	set	second	yet	type	machine	ve	turned	true	though	app	went	live	apps	games	past	future	news	together	website	site	start	later	across	read	web	group	b	each	goes	same	reading	browser	via	very	thanks	took	create	add	store	user	way	anyone	happens	yesterday	smart	living	changing	perhaps	small	images	results	wrong	click	maybe	come	side	simple	already	photo	change	game	needed	years	seem	complete	street	view	go	update	sale	before	tuesday	sometimes	health	found	watch	during	month	april	half	page	products	space	donald	national	ai	better	computer	able	big	got	say	buy	shows	might	step	business	weeks	series	deals	usually	amazon	available	police	according	pay	major	least	billion	announced	worth	copyright	law	internet	final	european	ios	apple	tv	download	c	talking	bring	finally	p	pro	far	season	event	content	model	she	learning	issues	college	science	language	music	systems	ceo	child	government	digital	u	hope	continue	ideas	key	project	industry	whole	learn	helping	end	having	decade	tools	cover	finding	stay	mobile	house	gmail	changed	emails	itself	started	easier	version	successful	told	original	published	reader	such	stories	entire	video	places	review	creative	mean	community	th	amp	enjoy	school	behind	known	youtube	article	wanted	become	articles	tell	move	special	spent	hours	personal	everyone	teach	minutes	image	difference	water	happening	since	released	family	recent	loved	large	paper	word	office	young	talk	thought	attention	system	reasons	turn	write	level	writing	won	e	rules	head	interesting	pretty	walking	camera	kind	john	facebook	please	saying	happened	paying	writers	robert	legal	friday
Signal v. Noise	1	1	2	1	1	1	1	4	1	1	1	1	1	2	2	1	1	1	5	4	2	1	2	1	5	3	1	1	3	3	1	1	2	3	1	1	3	1	1	2	1	1	1	2	2	1	2	3	2	1	1	1	2	1	1	1	4	2	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	2	5	4	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eschaton	1	1	2	0	1	0	0	1	1	1	0	1	0	0	1	1	1	0	0	4	1	0	5	1	2	1	0	2	1	0	0	0	3	2	0	1	0	3	1	1	2	0	0	1	1	0	0	0	0	2	0	0	0	0	0	2	0	1	0	0	0	0	0	1	0	1	0	1	0	2	0	0	0	0	1	0	1	5	0	0	1	2	2	1	0	0	1	4	0	0	0	0	1	0	0	0	0	0	1	0	1	3	1	1	0	0	1	0	2	1	1	9	1	1	1	1	4	2	6	2	2	1	1	2	3	2	3	4	2	2	2	1	4	2	2	1	4	2	1	3	1	2	1	4	2	3	1	2	3	6	4	4	2	1	1	1	1	2	2	4	1	1	1	1	5	2	1	4	2	2	1	1	2	3	1	2	1	3	1	1	4	1	1	2	1	1	1	1	1	1	1	2	3	1	2	1	2	1	3	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	3	1	1	3	2	1	1	1	1	4	1	1	1	1	1	1	2	4	1	1	1	1	3	3	1	1	2	2	1	3	1	2	1	2	2	2	1	1	1	1	1	1	1	3	1	1	1	1	1	2	1	3	1	1	1	1	2	1	1	4	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Guy Kawasaki	0	0	0	2	0	0	0	0	0	0	12	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	1	1	0	3	0	0	0	1	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	2	2	2	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	3	3	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	4	1	0	0	2	0	1	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	2	8	1	1	1	2	1	10	2	1	1	5	1	1	1	1	1	2	2	1	1	1	3	1	2	1	1	1	1	1	1	1	2	2	1	1	1	2	2	1	1	1	1	2	2	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Google Blogoscoped	1	0	1	1	0	1	0	0	0	1	2	0	0	0	4	3	0	1	1	0	0	2	0	2	3	3	6	3	0	0	1	4	0	3	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	28	1	0	1	0	2	1	0	2	1	1	2	0	1	0	1	1	0	0	1	1	1	2	1	1	2	1	0	5	1	0	6	3	2	2	1	0	2	4	0	0	0	0	2	1	2	1	0	0	1	0	0	0	0	0	4	0	0	2	2	0	0	1	2	2	2	0	2	0	0	1	0	0	1	0	4	2	0	5	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	4	2	2	0	3	0	0	1	0	0	0	0	0	1	2	0	0	1	2	1	2	1	1	1	3	0	0	0	3	1	2	0	0	0	0	0	0	0	0	0	2	0	1	1	3	0	0	1	0	0	0	0	0	2	0	3	1	0	1	0	0	3	0	0	0	0	0	2	0	1	0	1	0	0	2	0	0	1	0	1	0	3	0	0	1	1	3	11	1	2	0	1	0	2	4	1	0	0	2	0	1	1	1	0	1	2	1	0	0	1	0	0	0	0	1	2	1	0	5	0	0	0	0	1	0	1	0	0	2	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	3	2	2	4	0	0	0	0	1	1	0	1	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	1	2	4	1	1	3	4	1	1	6	1	2	1	1	1	1	4	1	2	2	2	4	7	4	3	1	1	1	2	2	1	1	1	1	3	2	2	1	1	2	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gizmodo	0	0	0	1	0	0	2	0	0	0	0	4	1	0	0	1	0	0	0	1	1	1	0	0	0	1	3	2	1	0	1	4	0	0	0	1	1	1	4	4	0	0	1	0	1	0	2	0	2	0	3	0	1	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	2	1	0	0	0	0	1	1	1	2	1	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	3	0	0	1	0	2	0	0	0	0	0	0	0	1	0	1	2	0	1	0	0	3	1	1	0	0	1	2	1	0	1	0	0	1	0	0	2	1	0	0	0	0	0	0	0	1	0	0	1	1	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	7	0	1	1	0	4	1	0	0	1	0	1	0	0	0	0	0	0	2	1	0	1	1	1	2	1	4	0	0	0	0	1	1	0	1	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	1	0	5	0	0	0	1	0	1	0	1	1	1	7	0	2	2	3	1	1	1	0	1	0	3	0	4	0	1	0	0	0	1	0	3	2	2	0	0	1	0	1	2	3	0	0	1	0	0	0	0	1	1	0	0	0	0	2	1	1	1	1	1	0	1	1	0	0	1	0	0	0	0	0	0	2	6	1	0	2	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	2	0	1	0	3	0	0	0	1	0	0	0	1	0	1	1	0	0	0	3	0	0	1	1	0	0	0	0	1	0	2	0	0	0	2	0	0	25	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	6	0	0	0	0	0	3	2	2	6	1	1	1	2	1	4	2	2	1	1	3	1	1	1	2	1	1	4	1	3	1	1	2	1	2	2	1	4	1	1	1	3	1	2	1	1	2	1	1	3	1	1	1	1	3	5	1	1	2	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Celebslam	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Official Google Blog	2	3	1	11	2	5	13	8	0	2	9	5	0	57	18	10	4	0	5	0	6	16	1	11	41	9	3	19	2	11	7	6	6	4	0	4	8	10	4	2	6	9	4	5	12	3	3	0	0	79	2	4	6	6	3	17	2	9	1	4	2	11	8	3	3	7	6	4	8	6	12	5	1	4	2	1	2	22	14	9	13	6	2	14	6	1	8	12	1	15	0	5	9	3	7	5	14	1	24	0	0	0	2	7	1	2	5	12	12	0	1	5	2	3	12	2	5	3	0	3	0	7	1	4	7	3	6	4	9	2	5	16	7	0	1	0	3	14	25	10	0	0	4	6	4	6	3	2	5	17	16	1	4	2	0	3	5	0	3	0	4	2	4	0	1	3	14	0	14	0	16	3	17	11	11	3	13	24	4	7	1	0	0	0	0	4	1	2	3	6	1	2	7	5	1	3	6	1	5	9	8	2	9	12	3	14	2	17	3	6	9	1	4	0	1	2	9	5	0	13	13	20	7	2	0	6	4	3	4	4	5	3	2	8	2	19	10	0	0	2	5	3	6	3	1	6	1	10	3	3	1	3	3	21	5	3	2	1	3	2	9	15	5	1	9	0	12	15	18	2	0	2	2	11	5	12	3	12	2	0	5	12	2	1	0	0	6	0	2	6	4	5	3	1	12	8	12	16	1	2	3	5	1	3	6	5	24	5	1	1	2	3	5	3	3	1	2	17	12	0	3	2	3	0	6	3	1	7	2	5	2	21	13	2	3	1	29	1	1	12	2	2	7	74	2	7	4	3	4	14	5	4	6	0	13	2	8	3	1	1	3	0	2	9	2	3	5	10	3	2	0	2	0	1	0	3	1	6	0	2	2	3	1	2	2	0	2	0	3	13	0	2	3	8	4	0	0	7	0	6	1	4	2	3	3	1	1	1	5	1	0	5	16	10	9	6	2	0	3	0	2	4	3	13	2	1	0	4	0	8	0	4	2	3	2	1	5	0	0	0	9	1	4	6	1	0	3	0	3	2	3	0	0	0	0	2	15	15	10	21	5	3	5	3	4	3	2	1	3	14	4	3	4	6	9	6	12	1	14	3	4	3	2	9	1	3	4	12	3	8	2	8	1	6	2	3	4	1	1	5	6	5	5	4	2	2	2	4	1	3	2	4	2	8	3	1	1	1	3	1	7	4	1	1	2	5	2	7	2	2	2	2	17	4	4	3	2	1	2	2	3	1	2	3	2	2	2	7	1	1	4	3	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Google Operating System	3	0	2	0	0	1	2	1	0	2	1	2	1	1	5	3	1	0	0	0	0	2	0	0	2	2	0	3	1	0	1	1	0	1	1	0	4	0	0	2	0	0	0	0	1	0	2	0	0	108	0	0	53	0	11	0	3	2	2	0	1	4	1	0	0	4	1	1	1	5	3	1	1	0	0	0	0	1	0	0	7	3	1	4	0	1	0	9	1	1	1	1	1	0	3	5	0	0	2	0	1	0	0	0	3	0	0	0	1	0	0	1	1	2	0	0	2	1	0	0	0	0	0	0	1	2	2	2	2	3	1	4	5	0	4	0	1	1	2	1	0	0	7	1	0	0	1	2	0	3	9	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	1	0	3	2	3	2	0	3	1	0	0	2	0	1	0	0	2	0	0	0	1	0	0	4	2	2	0	4	0	0	2	0	0	1	0	0	2	0	0	1	0	1	0	1	1	0	3	0	1	0	3	1	6	4	5	2	0	1	0	0	1	0	0	0	3	1	0	1	0	7	0	0	0	0	2	0	3	2	0	1	0	9	0	0	0	1	0	1	2	0	0	0	0	1	0	0	3	0	4	4	1	0	1	5	0	0	0	2	1	1	2	7	7	0	0	4	1	0	0	0	1	0	1	0	2	3	2	2	0	10	0	4	0	0	0	0	2	1	0	0	1	2	0	6	0	0	0	0	1	1	0	0	0	11	2	0	1	1	1	1	0	1	0	0	1	3	5	0	0	1	9	0	2	2	1	0	0	1	0	0	4	1	1	0	1	3	0	4	4	0	3	0	1	2	2	0	0	0	7	3	0	1	0	0	0	3	2	0	0	0	1	9	0	9	0	0	0	0	1	2	3	2	0	0	2	0	1	1	7	0	0	0	0	0	0	4	0	0	1	2	0	10	1	0	0	0	0	1	0	2	0	0	0	0	18	0	0	0	0	0	0	0	0	3	2	2	0	0	0	2	0	3	0	0	1	0	0	3	0	2	1	1	0	1	0	0	0	0	1	0	2	0	0	2	0	0	0	3	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	5	0	0	1	9	0	5	0	0	0	2	0	3	0	0	1	1	0	1	0	1	3	4	0	0	0	1	1	0	0	1	0	0	13	0	0	2	0	0	1	3	0	0	0	2	0	0	8	0	1	0	2	0	0	1	0	0	0	1	0	0	0	0	0	5	3	5	0	1	0	1	0	0	1	3	2	1	2	0	0	0	0	0	0	0	0	0	0	0
Creating Passionate Users	0	0	0	0	0	2	0	0	0	3	4	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	2	0	1	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	1	0	1	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	1	1	1	0	0	2	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	2	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	5	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Joi Ito's Web	0	0	0	0	0	0	0	1	0	2	0	2	0	1	1	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	2	0	1	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	2	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
